"ID","Description","Account type","DIMLIST","DRCRRECLASS","Offset account used in US Eliminations","EQUITYRCLS","EVDES_ENG","FA_01","FA_02","FA_03","FA_04","FA_05","FA_XX","INTERCO","MISC_CHECK","Rate type","RECLASS250","RECLASS253","RECLASS256","RECLASS258","RECLASS264","RECLASS265","RECLASS266","Scaling","Elimination Code","H1"
"28540053","Accrued Wages Tariff Increase","LEQ","","","","","Accrued Wages Tariff Increase","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28540052","Accrued Salary Tariff Increase","LEQ","","","","","Accrued Salary Tariff Increase","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28540050","Accrual Vacation Extra Charge Shift Work","LEQ","","","","","Accrual Vacation Extra Charge Shift Work","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28540054","Accrued Salary One Time Payment","LEQ","","","","","Accrued Salary One Time Payment","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28540055","Accrued Wages One Time Payment","LEQ","","","","","Accrued Wages One Time Payment","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28540057","Accrued Public Holiday Premium","LEQ","","","","","Accrued Public Holiday Premium","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28540059","Accrued Flexible Work Time","LEQ","","","","","Accrued Flexible Work Time","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28540049","Accrual Vacation Extra Charge Shift Empl","LEQ","","","","","Accrual Vacation Extra Charge Shift Empl","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28540027","Payment of the Seizure of Retained Wages/Salaries","LEQ","","","","","Payment of the Seizure of Retained Wages/Salaries","","","","","","","","","ENDDE","","","","","","","","","","L93_OTHLIABILITIES"
"28540023","Capital Forming Pay Workers OffsetAcc Cr","LEQ","","","","","Capital Forming Pay Workers OffsetAcc Cr","","","","","","","","","ENDDE","","","","","","","","","","L93_OTHLIABILITIES"
"28540022","Capital Forming Pay Workers OffsetAcc Credit","LEQ","","","","","Capital Forming Pay Workers OffsetAcc Credit","","","","","","","","","ENDDE","","","","","","","","","","L93_OTHLIABILITIES"
"28540020","Capital Forming Pay Empl Offset Acc Debit","LEQ","","","","","Capital Forming Pay Empl Offset Acc Debit","","","","","","","","","ENDDE","","","","","","","","","","L93_OTHLIABILITIES"
"28540019","Capital Forming Pay Empl OffsetAcc Credit","LEQ","","","","","Capital Forming Pay Empl OffsetAcc Credit","","","","","","","","","ENDDE","","","","","","","","","","L93_OTHLIABILITIES"
"28540017","BANK TRANSF. NET - WAGES","LEQ","","","","","BANK TRANSF. NET - WAGES","","","","","","","","","ENDDE","","","","","","","","","","L93_OTHLIABILITIES"
"28540016","Salaries Paid Workers Offset Acc Credit","LEQ","","","","","Salaries Paid Workers Offset Acc Credit","","","","","","","","","ENDDE","","","","","","","","","","L93_OTHLIABILITIES"
"28540062","Accrued Annual Capital Forming Payment","LEQ","","","","","Accrued Annual Capital Forming Payment","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28540063","Demograpy Accruals","LEQ","","","","","Demograpy Accruals","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28540064","Remaining Demografie","LEQ","","","","","Remaining Demografie","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28540065","Accrued Works Coucil Agreement Health","LEQ","","","","","Accrued Works Coucil Agreement Health","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28540112","Salaries Paid Employees Bank Transfer","LEQ","","","","","Salaries Paid Employees Bank Transfer","","","","","","","","","ENDDE","","","","","","","","","","L93_OTHLIABILITIES"
"28540117","Salaries Paid Workers Bank Transfer","LEQ","","","","","Salaries Paid Workers Bank Transfer","","","","","","","","","ENDDE","","","","","","","","","","L93_OTHLIABILITIES"
"28540122","Capital Forming Pay Empl Bank Transfer","LEQ","","","","","Capital Forming Pay Empl Bank Transfer","","","","","","","","","ENDDE","","","","","","","","","","L93_OTHLIABILITIES"
"28540127","Capital Forming Pay Workers Bank Transf","LEQ","","","","","Capital Forming Pay Workers Bank Transf","","","","","","","","","ENDDE","","","","","","","","","","L93_OTHLIABILITIES"
"28541510","Austria Offset Account Debit","LEQ","","","","","Austria Offset Account Debit","","","","","","","","","ENDDE","","","","","","","","","","L93_OTHLIABILITIES"
"28560000","Company's Contr to Emp Benefits - Health & Welfare","LEQ","","","","","Company's Contr to Emp Benefits - Health & Welfare","","","","","","","","","ENDDE","","","","","","","","","","L93_OTHLIABILITIES"
"28580000","Comp Contr to Emp Ben- Pension Funds, Sav, Invest","LEQ","","","","","Comp Contr to Emp Ben- Pension Funds, Sav, Invest","","","","","","","","","ENDDE","","","","","","","","","","L93_OTHLIABILITIES"
"28583000","Accrued Pension Costs","LEQ","","","","","Accrued Pension Costs","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28600000","Accrued Salaries & Wages","LEQ","","","","","Accrued Salaries & Wages","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28600007","Accrued Sales Incentive","LEQ","","","","","Accrued Sales Incentive","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28600024","Accrued Salaries for Vacation Year End","LEQ","","","","","Accrued Salaries for Vacation Year End","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28600025","Accrued Labor for Vacation Year End","LEQ","","","","","Accrued Labor for Vacation Year End","","","","","","","","","ENDDE","","","","","","","","","","L83_ACCRUALSOTHER"
"28409599","ECCS Edit Corrections","LEQ","","","","","ECCS Edit Corrections","","","","","","","","","ENDDE","","","","","","","","","","L93_OTHLIABILITIES"
"28420000","Employee Payroll Deductions - State Income Taxes","LEQ","","","","","Employee Payroll Deductions - State Income Taxes","","","","","","","","","ENDDE","","","","","","","","","","L93_OTHLIABILITIES"
"28440000","Employee Payroll Deductions - City Income Taxes","LEQ","","","","","Employee Payroll Deductions - City Income Taxes","","","","","","","","","ENDDE","","","","","","","","","","L93_OTHLIABILITIES"
"28460000","Emp Payroll Deductions - Payroll/Social Taxes","LEQ","","","","","Emp Payroll Deductions - Payroll/Social Taxes","","","","","","","","","ENDDE","","","","","","","","","","L93_OTHLIABILITIES"
"28460021","Social Security Empl Offset Acc Debit","LEQ","","","","","Social Security Empl Offset Acc Debit","","","","","","","","","ENDDE","","","","","","","","","","L93_OTHLIABILITIES"
"28460022","Social Security Empl Offset Acc Credit","LEQ","","","","","Social Security Empl Offset Acc Credit","","","","","","","","","ENDDE","","","","","","","","","","L93_OTHLIABILITIES"
"28460023","BANK TRANSF. TOT. SOCIAL INSUR. SALARIES","LEQ","","","","","BANK TRANSF. TOT. SOCIAL INSUR. SALARIES","","","","","","","","","ENDDE","","","","","","","","","","L93_OTHLIABILITIES"
"28460024","Social Security Workers Offset Acc Debit","LEQ","","","","","Social Security Workers Offset Acc Debit","","","","","","","","","ENDDE","","","","","","","","","","L93_OTHLIABILITIES"
"28460025","Social Security Workers OffsetAcc Credit","LEQ","","","","","Social Security Workers OffsetAcc Credit","","","","","","","","","ENDDE","","","","","","","","","","L93_OTHLIABILITIES"
"28460026","BANK TRANSF. TOT. SOCIAL INSUR. LABOR","LEQ","","","","","BANK TRANSF. TOT. SOCIAL INSUR. LABOR","","","","","","","","","ENDDE","","","","","","","","","","L93_OTHLIABILITIES"
"28460039","Accruals Social Security","LEQ","","","","","Accruals Social Security","","","","","","","","","ENDDE","","","","","","","","","","L93_OTHLIABILITIES"
"28460112","Social Security Employees Bank Transfer","LEQ","","","","","Social Security Employees Bank Transfer","","","","","","","","","ENDDE","","","","","","","","","","L93_OTHLIABILITIES"
"28460117","Social Security Workers Bank Transfer","LEQ","","","","","Social Security Workers Bank Transfer","","","","","","","","","ENDDE","","","","","","","","","","L93_OTHLIABILITIES"
"28461510","Social Security Vienna","LEQ","","","","","Social Security Vienna","","","","","","","","","ENDDE","","","","","","","","","","L93_OTHLIABILITIES"
